NodeId,lat,lng,UTMx,UTMy,Node_ID
377990,31.247906,-81.28416,472941,3457108,377990
339e4d,31.252276,-81.280056,473336,3457595,339e4d
339fba,31.253426,-81.281384,473209,3457723,339fba
375e07,31.255714,-81.280056,473339,3457975,375e07
3763c0,31.25472,-81.281368,473211,3457866,3763c0
3765c3,31.248458,-81.285472,472818,3457173,3765c3
376f3f,31.254838,-81.278688,473467,3457876,376f3f
3775fb,31.246562,-81.28524,472839,3456962,3775fb
3777fd,31.24435,-81.282704,473086,3456716,3777fd
377a13,31.252314,-81.28148,473201,3457600,377a13
377a22,31.251208,-81.280328,473312,3457476,377a22
377c9f,31.252178,-81.278456,473487,3457586,377c9f
377d0e,31.255592,-81.281376,473210,3457963,377d0e
377d96,31.25462,-81.279736,473365,3457853,377d96
377e04,31.245378,-81.283024,473050,3456831,377e04
37832d,31.251152,-81.281472,473198,3457466,37832d
3787fc,31.253536,-81.280224,473320,3457733,3787fc
37899c,31.24766,-81.285656,472800,3457085,37899c
378cbc,31.244236,-81.284232,472937,3456708,378cbc
378e5c,31.245516,-81.285472,472818,3456842,378e5c
378eec,31.251094,-81.278808,473453,3457464,378eec
3790dc,31.245414,-81.28412,472946,3456836,3790dc
37a395,31.255746,-81.278824,473453,3457979,37a395
37a5aa,31.247636,-81.282776,473074,3457081,37a5aa
37a831,31.246774,-81.282856,473063,3456983,37a831
37a87b,31.24415,-81.284832,472944,3456834,37a87b
37a91b,31.248748,-81.282704,473081,3457209,37a91b
37aa11,31.246522,-81.284008,472959,3456957,37aa11
37ad60,31.248852,-81.28392,472966,3457213,37ad60
37a26c,31.253466,-81.279,473436,3457726,37a26c
37648e,31.253414,-81.281376,473209,3457721,37648e
